ticker,shadow_snapshots,shadow_mean_next_return_pct,shadow_positive_rate,shadow_stage_persist_rate,shadow_stage_upgrade_rate,shadow_heat_rate,shadow_entry_timing_mean,shadow_hot_constructive_rate,shadow_hot_late_rate,shadow_probation_score,shadow_readiness
IMP.JO,1,0.0,0.0,0.0,0.0,0.0,0.4153,0.0,0.0,0.3123,shadow_weak
285A.T,3,10.0852,0.6667,1.0,0.3333,0.3333,1.8411,0.0,0.3333,2.483,shadow_ready
FIX,7,3.3274,0.5714,1.0,0.1429,0.0,1.1441,0.0,0.0,2.295,shadow_ready
UCTT,7,4.5873,0.5714,1.0,0.0,0.0,0.8393,0.0,0.0,2.2929,shadow_ready
WULF,3,6.8734,0.6667,1.0,0.0,0.0,1.0588,0.0,0.0,2.292,shadow_ready
CAMT,7,2.796,0.5714,1.0,0.1429,0.0,0.712,0.0,0.0,2.1876,shadow_ready
CIFR,6,4.39,0.5,0.8333,0.0,0.0,0.9156,0.0,0.0,2.1635,shadow_ready
PLS.AX,3,1.0831,0.6667,1.0,0.3333,0.0,1.0498,0.0,0.0,1.9608,shadow_ready
TER,2,1.3536,0.5,1.0,0.0,0.0,1.1711,0.0,0.0,1.559,shadow_ready
PL,6,4.2461,0.3333,0.8333,0.0,0.0,1.5713,0.0,0.0,2.192,shadow_building
6857.T,7,2.6938,0.4286,1.0,0.1429,0.0,0.7891,0.0,0.0,2.141,shadow_building
272210.KS,7,1.4603,0.4286,1.0,0.2857,0.0,0.9391,0.0,0.0,2.122,shadow_building
000660.KS,3,5.3369,0.3333,1.0,0.0,0.0,1.2046,0.0,0.0,2.0743,shadow_building
2345.TW,7,1.716,0.4286,1.0,0.1429,0.0,0.7357,0.0,0.0,2.0548,shadow_building
006800.KS,7,0.8844,0.2857,1.0,0.0,0.0,1.6015,0.0,0.0,2.011,shadow_building
SATS,4,3.3282,0.25,0.75,0.0,0.0,1.0392,0.0,0.0,1.9596,shadow_building
WBD,7,0.1843,0.4286,1.0,0.0,0.0,1.1698,0.0,0.0,1.9402,shadow_building
3037.TW,5,0.0,0.0,1.0,0.0,0.0,1.4407,0.0,0.0,1.8161,shadow_building
ONDS,4,0.0,0.0,1.0,0.0,0.0,1.4213,0.0,0.0,1.8132,shadow_building
FTI,7,0.0,0.0,1.0,0.1429,0.0,1.0042,0.0,0.0,1.8078,shadow_building
AA,5,0.0,0.0,1.0,0.2,0.0,0.8132,0.0,0.0,1.802,shadow_building
PR,7,-0.5557,0.1429,1.0,0.1429,0.0,0.7195,0.0,0.0,1.7706,shadow_building
5713.T,3,1.9042,0.3333,1.0,0.0,0.0,0.7789,0.0,0.0,1.7358,shadow_building
HL,7,0.0,0.0,1.0,0.0,0.0,0.7596,0.0,0.0,1.7139,shadow_building
AU,5,0.0,0.0,1.0,0.0,0.0,0.7033,0.0,0.0,1.7055,shadow_building
3993.HK,7,0.0,0.0,1.0,0.0,0.0,0.659,0.0,0.0,1.6989,shadow_building
2383.TW,7,3.0508,0.4286,1.0,0.2857,0.7143,0.0114,0.0,0.1429,1.6886,shadow_building
VALE3.SA,5,0.0,0.0,1.0,0.0,0.0,0.5772,0.0,0.0,1.6866,shadow_building
GFI.JO,5,0.0,0.0,1.0,0.0,0.0,0.4914,0.0,0.0,1.6737,shadow_building
ADANIPOWER.NS,4,0.0,0.0,1.0,0.0,0.0,0.4693,0.0,0.0,1.6704,shadow_building
0568.HK,7,-2.352,0.1429,1.0,0.0,0.0,1.3373,0.0,0.0,1.6624,shadow_building
6443.TW,7,-2.4358,0.2857,1.0,0.0,0.0,1.0112,0.0,0.0,1.6568,shadow_building
OVV,7,-1.0966,0.1429,1.0,0.0,0.0,0.6153,0.0,0.0,1.6546,shadow_building
006400.KS,2,1.0074,0.5,1.0,0.0,0.0,0.8049,0.0,0.0,1.4763,shadow_building
KEYS,3,0.0,0.0,1.0,0.0,0.0,0.6976,0.0,0.0,1.4546,shadow_building
SM,4,-1.3055,0.0,0.75,0.0,0.0,0.439,0.0,0.0,1.4114,shadow_building
5803.T,2,3.0,0.5,0.5,0.0,0.0,1.2822,0.0,0.0,1.4073,shadow_building
034020.KS,2,2.3795,0.5,0.5,0.0,0.0,0.891,0.0,0.0,1.299,shadow_building
AXTI,7,3.8584,0.4286,1.0,0.0,1.0,1.17,0.0,1.0,1.2842,shadow_building
GLEN.L,3,0.0,0.0,0.6667,0.0,0.0,0.7143,0.0,0.0,1.2572,shadow_building
CIEN,5,3.9318,0.2,0.8,0.0,0.8,0.1237,0.0,0.8,1.1231,shadow_building
STX,1,0.0,0.0,1.0,0.0,0.0,1.4981,0.0,0.0,1.0747,shadow_building
FORM,1,0.0,0.0,1.0,0.0,0.0,1.3643,0.0,0.0,1.0546,shadow_building
VIAV,1,0.0,0.0,1.0,0.0,0.0,1.2833,0.0,0.0,1.0425,shadow_building
NBIS,1,0.0,0.0,1.0,0.0,0.0,1.0512,0.0,0.0,1.0077,shadow_building
INTC,1,0.0,0.0,1.0,0.0,0.0,0.7511,0.0,0.0,0.9627,shadow_building
LUNR,4,0.0,0.0,1.0,0.0,1.0,-1.0512,0.0,0.0,0.9423,shadow_building
8046.TW,7,0.0,0.0,1.0,0.0,0.7143,-0.0543,0.0,0.7143,0.9133,shadow_building
SYM,2,0.0,0.0,0.5,0.0,0.0,0.5931,0.0,0.0,0.889,shadow_building
108860.KQ,2,0.0,0.0,0.5,0.0,0.0,0.3774,0.0,0.0,0.8566,shadow_building
1428.HK,1,1.5127,1.0,0.0,0.0,0.0,0.8529,0.0,0.0,0.849,shadow_building
6869.HK,2,-0.5338,0.0,1.0,0.0,0.5,1.7285,0.0,0.5,0.8416,shadow_building
1605.T,2,-4.0891,0.0,0.5,0.0,0.0,0.713,0.0,0.0,0.5798,shadow_building
